iter	Passed	Remaining
636	10044	5724
637	10059	5707
638	10076	5692
639	10088	5675
640	10105	5659
641	10119	5642
642	10135	5627
643	10148	5610
644	10162	5593
645	10174	5575
646	10186	5557
647	10197	5539
648	10209	5521
649	10225	5505
650	10244	5491
651	10256	5474
652	10272	5458
653	10286	5442
654	10301	5426
655	10315	5409
656	10330	5393
657	10346	5377
658	10357	5359
659	10370	5342
660	10383	5325
661	10400	5310
662	10413	5293
663	10430	5277
664	10446	5262
665	10460	5246
666	10475	5229
667	10486	5211
668	10503	5197
669	10514	5178
670	10528	5162
671	10546	5147
672	10561	5131
673	10576	5115
674	10592	5100
675	10603	5082
676	10617	5065
677	10632	5049
678	10652	5035
679	10663	5017
680	10675	5000
681	10689	4984
682	10701	4966
683	10713	4949
684	10726	4932
685	10744	4917
686	10754	4899
687	10771	4884
688	10782	4866
689	10795	4850
690	10807	4832
691	10822	4816
692	10837	4801
693	10856	4786
694	10875	4772
695	10894	4758
696	10909	4742
697	10924	4726
698	10940	4711
699	10960	4697
700	10977	4682
701	10989	4664
702	11003	4648
703	11018	4632
704	11029	4615
705	11045	4599
706	11061	4584
707	11077	4568
708	11089	4551
709	11100	4534
710	11120	4520
711	11135	4504
712	11146	4486
713	11160	4470
714	11175	4454
715	11187	4437
716	11202	4421
717	11218	4406
718	11228	4388
719	11244	4372
720	11261	4357
721	11279	4343
722	11291	4326
723	11303	4309
724	11319	4293
725	11330	4276
726	11343	4259
727	11359	4244
728	11372	4227
729	11387	4211
730	11408	4198
731	11420	4181
732	11434	4165
733	11447	4148
734	11463	4133
735	11478	4117
736	11491	4100
737	11503	4084
738	11517	4067
739	11531	4051
740	11542	4034
741	11559	4019
742	11575	4003
743	11590	3987
744	11607	3972
745	11631	3960
746	11652	3946
747	11676	3933
748	11692	3918
749	11707	3902
750	11721	3886
751	11732	3869
752	11746	3853
753	11762	3837
754	11776	3821
755	11793	3806
756	11804	3789
757	11816	3772
758	11829	3756
759	11842	3739
760	11858	3724
761	11870	3707
762	11888	3692
763	11901	3676
764	11915	3660
765	11924	3642
766	11940	3627
767	11957	3612
768	11971	3596
769	11991	3581
770	12002	3564
771	12019	3549
772	12030	3532
773	12044	3516
774	12056	3500
775	12071	3484
776	12086	3468
777	12105	3454
778	12116	3437
779	12132	3422
780	12143	3405
781	12157	3389
782	12172	3373
783	12188	3358
784	12200	3341
785	12225	3328
786	12239	3312
787	12251	3295
788	12265	3280
789	12279	3264
790	12291	3247
791	12304	3231
792	12315	3214
793	12332	3199
794	12344	3183
795	12360	3167
796	12376	3152
797	12393	3137
798	12407	3121
799	12422	3105
800	12434	3089
801	12446	3072
802	12462	3057
803	12474	3040
804	12491	3025
805	12505	3010
806	12524	2995
807	12535	2978
808	12555	2964
809	12567	2947
810	12589	2933
811	12601	2917
812	12619	2902
813	12633	2886
814	12648	2871
815	12663	2855
816	12681	2840
817	12694	2824
818	12712	2809
819	12727	2793
820	12742	2778
821	12757	2762
822	12772	2746
823	12794	2732
824	12811	2717
825	12823	2701
826	12843	2686
827	12859	2671
828	12876	2656
829	12891	2640
830	12910	2625
831	12927	2610
832	12941	2594
833	12959	2579
834	12979	2564
835	12992	2548
836	13005	2532
837	13020	2517
838	13050	2504
839	13063	2488
840	13080	2472
841	13091	2456
842	13110	2441
843	13131	2427
844	13148	2411
845	13162	2395
846	13180	2380
847	13192	2364
848	13205	2348
849	13221	2333
850	13237	2317
851	13248	2301
852	13265	2286
853	13278	2270
854	13291	2254
855	13306	2238
856	13318	2222
857	13331	2206
858	13351	2191
859	13366	2175
860	13379	2159
861	13392	2144
862	13407	2128
863	13421	2112
864	13436	2097
865	13449	2081
866	13465	2065
867	13477	2049
868	13488	2033
869	13504	2017
870	13515	2001
871	13532	1986
872	13548	1970
873	13564	1955
874	13578	1939
875	13596	1924
876	13609	1908
877	13624	1893
878	13640	1877
879	13654	1862
880	13665	1845
881	13682	1830
882	13695	1814
883	13708	1798
884	13721	1783
885	13736	1767
886	13753	1752
887	13765	1736
888	13778	1720
889	13790	1704
890	13803	1688
891	13819	1673
892	13832	1657
893	13848	1642
894	13860	1626
895	13871	1610
896	13883	1594
897	13901	1579
898	13917	1563
899	13929	1547
900	13947	1532
901	13968	1517
902	13980	1501
903	13994	1486
904	14006	1470
905	14018	1454
906	14033	1438
907	14047	1423
908	14059	1407
909	14075	1392
910	14087	1376
911	14098	1360
912	14111	1344
913	14122	1328
914	14138	1313
915	14152	1297
916	14166	1282
917	14180	1266
918	14199	1251
919	14213	1235
920	14227	1220
921	14242	1204
922	14256	1189
923	14266	1173
924	14278	1157
925	14293	1142
926	14304	1126
927	14317	1110
928	14339	1095
929	14350	1080
930	14363	1064
931	14381	1049
932	14397	1033
933	14411	1018
934	14423	1002
935	14440	987
936	14449	971
937	14463	955
938	14477	940
939	14494	925
940	14507	909
941	14522	894
942	14536	878
943	14550	863
944	14567	847
945	14579	832
946	14600	817
947	14613	801
948	14626	786
949	14643	770
950	14655	755
951	14667	739
952	14682	724
953	14700	708
954	14713	693
955	14725	677
956	14739	662
957	14755	646
958	14770	631
959	14788	616
960	14799	600
961	14815	585
962	14826	569
963	14836	554
964	14845	538
965	14859	522
966	14873	507
967	14889	492
968	14902	476
969	14920	461
970	14934	446
971	14952	430
972	14962	415
973	14977	399
974	14991	384
975	15008	369
